# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles:P'
# Event count (approx.): 27400219282
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ........  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
   100.00%     0.00%  [.] _RNvNvMs0_NtNtNtCsfr5T3GFabw_3std3sys6thread4unixNtB7_6Thread3new12thread_start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
   100.00%     0.00%  [.] start_thread                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
   100.00%     0.00%  [.] thread_start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
    99.98%     0.00%  [.] _RINvMNtNtNtCseBKpjZF5NJu_5tokio7runtime7context6scopedINtB3_6ScopedNtNtB7_9scheduler7ContextE3setNCNCNvNtNtB15_12multi_thread6worker3run00uEB9_                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
    99.98%     0.00%  [.] _RINvNtNtCsfr5T3GFabw_3std3sys9backtrace28___rust_begin_short_backtraceNCNvMs4_NtNtNtCseBKpjZF5NJu_5tokio7runtime8blocking4poolNtB1e_7Spawner12spawn_thread0uEB1k_                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
    99.98%     0.00%  [.] _RINvNtNtNtCseBKpjZF5NJu_5tokio7runtime4task3raw4pollINtNtNtB6_8blocking4task12BlockingTaskNCNvMNtNtNtB6_9scheduler12multi_thread6workerNtB1v_6Launch6launch0ENtNtBT_8schedule16BlockingScheduleEB8_.llvm.16255584662932000670                                                                                                                                                                                                                                                                                                                                                                         -      -            
    99.98%     0.00%  [.] _RINvNtNtNtCseBKpjZF5NJu_5tokio7runtime7context7runtime13enter_runtimeNCNvNtNtNtB6_9scheduler12multi_thread6worker3run0uEB8_                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
    99.98%     0.00%  [.] _RNSNvYNCINvNtNtCsfr5T3GFabw_3std6thread9lifecycle15spawn_uncheckedNCNvMs4_NtNtNtCseBKpjZF5NJu_5tokio7runtime8blocking4poolNtB1a_7Spawner12spawn_thread0uEs_0INtNtNtCskxtBwYRO61I_4core3ops8function6FnOnceuE9call_once6vtableB1g_                                                                                                                                                                                                                                                                                                                                                                     -      -            
    99.98%     0.00%  [.] _RNvMs5_NtNtNtCseBKpjZF5NJu_5tokio7runtime8blocking4poolNtB5_5Inner3run                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
    99.98%     0.00%  [.] _RNvMs_NtNtNtNtCseBKpjZF5NJu_5tokio7runtime9scheduler12multi_thread6workerNtB4_7Context3run                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
    99.98%     0.00%  [.] _RNvNtNtNtNtCseBKpjZF5NJu_5tokio7runtime9scheduler12multi_thread6worker3run                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
    99.98%     0.00%  [.] _RNvXs0_NtNtNtCseBKpjZF5NJu_5tokio7runtime8blocking4taskINtB5_12BlockingTaskNCNvMNtNtNtB9_9scheduler12multi_thread6workerNtB1g_6Launch6launch0ENtNtNtCskxtBwYRO61I_4core6future6future6Future4pollBb_                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
    99.40%     0.18%  [.] _RNvMs_NtNtNtNtCseBKpjZF5NJu_5tokio7runtime9scheduler12multi_thread6workerNtB4_7Context8run_task                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
    93.80%     0.36%  [.] _RNCNvMsc_Cs1cJ15fPgXk8_12phase0_benchNtB7_12BlinkAdapter22start_with_read_handle0B7_.llvm.3418754717791975846                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
    93.80%     0.00%  [.] _RNvMs0_NtNtNtCseBKpjZF5NJu_5tokio7runtime4task7harnessINtB5_7HarnessNCNvMsc_Cs1cJ15fPgXk8_12phase0_benchNtB1c_12BlinkAdapter22start_with_read_handle0INtNtCs69KKACWg7bl_5alloc4sync3ArcNtNtNtNtB9_9scheduler12multi_thread6handle6HandleEE4pollB1c_                                                                                                                                                                                                                                                                                                                                                   -      -            
    93.80%     0.00%  [.] _RNvMs4_NtNtNtCseBKpjZF5NJu_5tokio7runtime4task4coreINtB5_4CoreNCNvMsc_Cs1cJ15fPgXk8_12phase0_benchNtB16_12BlinkAdapter22start_with_read_handle0INtNtCs69KKACWg7bl_5alloc4sync3ArcNtNtNtNtB9_9scheduler12multi_thread6handle6HandleEE4pollB16_                                                                                                                                                                                                                                                                                                                                                         -      -            
    85.72%     0.43%  [.] _RNvMsc_NtCs1XYOvoGgSXZ_12dodb_storage5blinkINtB5_10BlinkStoreNtCs1cJ15fPgXk8_12phase0_bench9BenchFileBX_E23apply_transaction_groupBZ_                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
    24.74%     0.78%  [.] _RNvMs1_NtCs1XYOvoGgSXZ_12dodb_storage3walINtB5_6WalLogNtCs1cJ15fPgXk8_12phase0_bench9BenchFileE18append_group_innerBS_.llvm.16774946609634899521                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
    18.43%     2.19%  [.] _RNvNtCs1XYOvoGgSXZ_12dodb_storage5blink32prepare_planned_serial_execution                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
    10.52%    10.41%  [.] __GI___memcpy_simd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
    10.29%     3.48%  [.] _RNvNtCs1XYOvoGgSXZ_12dodb_storage5blink10plan_batch                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     9.93%     7.26%  [.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     9.83%     4.30%  [.] cfree@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     9.48%     1.52%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     7.24%     0.00%  [k] 0xffffc967369b1594                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     6.99%     0.00%  [k] 0xffffc96737e7e280                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     6.68%     0.00%  [.] _RNvMs9_NtCs1XYOvoGgSXZ_12dodb_storage5blinkNtB5_19GenerationPublisher7publish                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     6.64%     0.00%  [k] 0xffffc96737e7dbe0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     6.62%     0.00%  [k] 0xffffc967369d154c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     6.60%     0.00%  [.] _RNvMsn_NtCs69KKACWg7bl_5alloc4syncINtB5_3ArcNtNtCs1XYOvoGgSXZ_12dodb_storage5blink19PublishedGenerationE9drop_slowBK_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     6.58%     0.05%  [.] _RNvMsn_NtCs69KKACWg7bl_5alloc4syncINtB5_3ArcNtNtCs1XYOvoGgSXZ_12dodb_storage5blink11PageCatalogE9drop_slowBK_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     6.48%     0.00%  [k] 0xffffc967369d14f0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     6.34%     0.02%  [k] 0xffffc967369d1310                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     6.25%     6.25%  [.] __aarch64_ldadd8_rel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     6.21%     0.27%  [.] _RNvMsn_NtCs69KKACWg7bl_5alloc4syncINtB5_3ArcNtNtCs1XYOvoGgSXZ_12dodb_storage5blink16PageCatalogChunkE9drop_slowBK_                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     5.79%     5.78%  [.] __aarch64_ldadd8_relax                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     5.61%     2.98%  [.] _int_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     5.50%     1.08%  [.] _RNvMsi_NtNtNtCs69KKACWg7bl_5alloc11collections5btree3mapINtB5_8BTreeMapNtNtCs6n33w9kep8v_9dodb_core11identifiers6PageIdAhj1000_E6insertCs1cJ15fPgXk8_12phase0_bench                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     5.43%     0.21%  [.] _RNvNtCs1XYOvoGgSXZ_12dodb_storage5blink17encode_blink_page                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
